index,memory
    1,  98532
   401,  98532
   801,  98532
  1201,  98532
  1601,  98532
  2001,  98532
  2401,  98532
  2801,  98532
  3201,  98532
  3601,  98532
  4001,  98532
  4401,  98532
  4801,  98532
  5201,  98532
  5601,  98532
  6001,  98532
  6401,  98532
  6801,  98532
  7201,  98532
  7601,  98532
  8001,  98532
  8401,  98532
  8801,  98532
  9201,  98532
  9601,  98532
 10001,  98532
 10401,  98532
 10801,  98532
 11201,  98532
 11601,  98532
 12001,  98532
 12401,  98532
 12801,  98532
 13201,  98532
 13601,  98532
 14001,  98532
 14401,  98532
 14801,  98532
 15201,  98532
 15601,  98532
 16001,  98532
 16401,  98532
 16801,  98532
 17201,  98532
 17601,  98532
 18001,  98532
 18401,  98532
 18801,  98532
 19201,  98532
 19601,  98532
 20001,  98532
 20401,  98532
 20801,  98532
 21201,  98532
 21601,  98532
 22001,  98532
 22401,  98532
 22801,  98532
 23201,  98532
 23601,  98532
 24001,  98532
 24401,  98532
 24801,  98532
 25201,  98532
 25601,  98532
 26001,  98532
 26401,  98532
 26801,  98532
 27201,  98532
 27601,  98532
 28001,  98532
 28401,  98532
 28801,  98532
 29201,  98532
 29601,  98532
 30001,  98532
 30401,  98532
 30801,  98532
 31201,  98532
 31601,  98532
 32001,  98532
 32401,  98532
 32801,  98532
 33201,  98532
 33601,  98532
 34001,  98532
 34401,  98532
 34801,  98532
 35201,  98532
 35601,  98532
 36001,  98532
 36401,  98532
 36801,  98532
 37201,  98532
 37601,  98532
 38001,  98532
 38401,  98532
 38801,  98532
 39201,  98532
 39601,  98532